200,1.038935114,200,1.0397351111,0,1.017,400,1.0656766565,400,1.0488196186,0,1.022,200,1.033,400,1.04419659,0,1.018
400,1.031601398,400,1.029769394,200,1.017,600,1.0646736702,600,1.0448275615,200,1.021,400,1.021,600,1.0430572646,200,1.023
600,1.0287395743,600,1.028929489,400,1.01,800,1.051554658,800,1.0396622151,400,1.017,600,1.02,800,1.0354486061,400,1.022
800,1.0221005893,800,1.019876573,600,1.003,1000,1.0432004551,1000,1.0378302138,600,1.011,800,1.006,1000,1.0340219116,600,1.015
1000,1.0109074783,1000,1.0119686981,800,1.001,1200,1.036554302,1200,1.0305021923,800,1.006,1000,1.005,1200,1.029036596,800,1.014
1200,1.0110830441,1200,1.0121821566,1000,0.999,1400,1.025794982,1400,1.0235405808,1000,1.008,1200,0.996,1400,1.0268948262,1000,1.008
1400,1.0020754544,1400,1.0051464715,1200,0.997,1600,1.025024293,1600,1.0238948709,1200,1.006,1400,0.986,1600,1.0220752304,1200,1
1600,0.9996430143,1600,1.0043557948,1400,0.997,1800,1.0154798024,1800,1.0155068962,1400,1.005,1600,0.985,1800,1.011449355,1500,0.998
1800,0.9897841232,1800,0.9953277207,1600,0.994,2000,1.0071046582,2000,1.0083317155,1600,1.005,1800,0.971,2000,1.0118157558,1600,0.994
2000,0.9896627138,2000,0.9918440593,1800,0.988,0,1.05,0,1.04,1704.918,0.997,22.107,1.029,254.3807836188,1.048,1800,0.993
0,1.05,0,1.03,1974.057,0.988,200,1.053,200,1.048,2000,0.998,2006.26,0.971,0,1.04,2000,0.992
