340,-0.0343212921,340,0.0039761555,380,0.0395793499
380,-0.0280614446,380,-0.0109722455,420,0.0045448175
420,-0.0247791122,420,-0.0169828332,460,-0.0150187834
460,-0.0240908842,460,-0.0205797387,500,-0.0220347848
500,-0.0235471361,500,-0.0198216669,540,-0.0285811796
540,-0.0220031863,540,-0.0237410453,580,-0.0334596963
580,-0.0220457134,580,-0.0254705307,620,-0.0344215499
620,-0.0232270049,620,-0.0264162266,660,-0.0377461093
660,-0.0238770041,660,-0.0273052336,700,-0.0401117388
700,-0.0249327981,700,-0.029184559,740,-0.0400317744
740,-0.0265106389,740,-0.0300221938,780,-0.0427227372
780,-0.0267084451,780,-0.0308653303,820,-0.0445518379
820,-0.028617395,820,-0.0328651649,860,-0.0440534304
860,-0.0298431246,860,-0.0334768701,900,-0.0469195982
900,-0.0305035593,900,-0.0347726042,940,-0.0483718882
940,-0.0327046213,940,-0.0366973923,980,-0.0483776103
980,-0.033766303,980,-0.0367143782,1020,-0.0508764411
1020,-0.0342777641,1020,-0.0386370222,1060,-0.0520610385
1060,-0.0363430683,1060,-0.040161958,1100,-0.0523989773
1100,-0.037714918,1100,-0.0406974167,1140,-0.0546786716
1140,-0.0382611416,1140,-0.0423323567,1180,-0.0554270451
1180,-0.0400371824,1180,-0.0436835506,1220,-0.0564219492
1220,-0.041501382,1220,-0.0451806673,1260,-0.0586589119
1260,-0.0422603215,1260,-0.0464114656,1300,-0.0591661606
1300,-0.0439374946,1300,-0.0476673516,1340,-0.0606727319
1340,-0.0453046134,1340,-0.0490605858,1380,-0.0624331676
1380,-0.0458765084,1380,-0.0499747692,1420,-0.0630591704
1420,-0.0477060288,1420,-0.0514713263,1460,-0.064860574
1460,-0.0491147365,1460,-0.0528253281,1500,-0.0664507774
1500,-0.04986814,1500,-0.0539823065,1540,-0.0671972704
1540,-0.0515510213,1540,-0.0554525338,1580,-0.0689660988
1580,-0.0528135713,1580,-0.0567150528,1620,-0.0702523031
1620,-0.0537959452,1620,-0.0578193935,1660,-0.0710190079
1660,-0.0551433496,1660,-0.0591145003,1700,-0.0732163011
1700,-0.0564384962,1700,-0.0604451339,1740,-0.073997618
1740,-0.0574116729,1740,-0.0615871927,1780,-0.0751372947
1780,-0.0588845014,1780,-0.0629289673,1820,-0.0772170179
1820,-0.0600234548,1820,-0.0642281315,1860,-0.0779351873
1860,-0.0611777832,1860,-0.0653616529,1900,-0.0787845182
1900,-0.0623840106,1900,-0.0664380758,1940,-0.0812235463
1940,-0.0637057105,1940,-0.0678918587,1980,-0.0816232752
1980,-0.0648422035,1980,-0.0690448919,340,0.118
